City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
224,Kerouane,GN,9.2667,-9.0167,92.95,9,85,6.08,overcast clouds
225,Morondava,MG,-20.2833,44.2833,84.34,70,94,11.88,overcast clouds
226,Flin Flon,CA,54.7682,-101.865,-0.56,78,100,3.44,mist
227,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,85.82,60,34,2.13,scattered clouds
228,Ritchie,ZA,-29.038,24.6028,78.85,42,99,21.09,overcast clouds
229,Polonnaruwa,LK,7.9333,81.0,69.93,77,19,2.77,few clouds
230,Thunder Bay,CA,48.4001,-89.3168,21.18,79,100,10.36,overcast clouds
231,Redmond,US,47.674,-122.1215,40.33,92,95,2.93,overcast clouds
232,Kutum,SD,14.2,24.6667,72.03,14,47,9.31,scattered clouds
233,Constantine,DZ,36.365,6.6147,38.61,87,100,11.5,light rain
234,Chokurdakh,RU,70.6333,147.9167,-34.31,100,65,5.7,broken clouds
235,Odweyne,SO,9.4092,45.064,64.9,59,15,16.33,few clouds
236,Alta Floresta,BR,-9.8756,-56.0861,84.88,58,62,0.87,light rain
237,Fortuna,US,40.5982,-124.1573,37.74,100,0,6.91,clear sky
238,Adeje,ES,28.1227,-16.726,65.28,55,40,26.46,scattered clouds
239,Sa Kaeo,TH,13.75,102.3333,71.74,49,35,6.29,scattered clouds
240,Santa Maria Del Oro,MX,25.9333,-105.3667,58.68,14,39,5.12,scattered clouds
241,Upernavik,GL,72.7868,-56.1549,-10.64,96,100,6.71,overcast clouds
242,Esperance,AU,-33.8667,121.9,60.44,79,0,15.12,clear sky
243,Vao,NC,-22.6667,167.4833,75.31,68,7,12.12,clear sky
244,San Rafael,AR,-34.6177,-68.3301,92.12,30,34,14.5,scattered clouds
245,Dikson,RU,73.5069,80.5464,-28.68,93,15,2.75,few clouds
246,Bogorodsk,RU,56.1033,43.5158,25.95,90,100,15.3,overcast clouds
247,Provideniya,RU,64.3833,-173.3,-22.31,91,30,5.61,scattered clouds
248,Torbay,CA,47.6666,-52.7314,38.57,92,75,23.02,broken clouds
249,Qaqortoq,GL,60.7167,-46.0333,26.71,96,100,6.89,light snow
250,Barsovo,RU,61.1667,73.1667,-0.27,100,38,4.85,scattered clouds
251,Cabra,ES,37.4725,-4.4421,43.79,66,10,5.84,clear sky
252,Port Hardy,CA,50.6996,-127.4199,33.98,100,75,3.44,broken clouds
253,Senj,HR,44.9894,14.9058,43.47,83,89,10.02,light rain
254,Tabora,TZ,-5.0167,32.8,82.18,47,20,0.0,few clouds
